rank,name,address,link
1,스시아라타,서울특별시 영등포구 국제금융로8길 16,https://m.place.naver.com/restaurant/1796596446/home?entry=plt
2,오헨,서울특별시 영등포구 의사당대로 127 롯데캐슬엠파이어 1F,https://m.place.naver.com/restaurant/44448487/home?entry=ple
3,하쯔호,서울특별시 영등포구 여의동로 213 금호리첸시아 B1,https://m.place.naver.com/restaurant/34625307/home?entry=plt
4,피그인더가든,서울특별시 영등포구 여의대로 56 한화손해보험빌딩 1F,https://m.place.naver.com/restaurant/293498680/home?entry=ple
5,정인면옥,서울특별시 영등포구 국회대로76길 10,https://m.place.naver.com/restaurant/34883067/home?entry=ple
6,아트리오,서울특별시 영등포구 국제금융로 10 콘래드호텔 서울점 2F,https://m.place.naver.com/restaurant/37260382/home?entry=plt
7,가양칼국수버섯매운탕,서울특별시 영등포구 국제금융로 78,https://m.place.naver.com/restaurant/11624237/home?entry=plt
8,진주집,서울특별시 영등포구 국제금융로6길 33,https://m.place.naver.com/restaurant/11678773/home?entry=plt
9,폴앤폴리나,서울특별시 영등포구 의사당대로 108 아일렉스상가 1F,https://m.place.naver.com/restaurant/21052525/home?entry=plt
10,바스버거,서울특별시 영등포구 국제금융로 20 율촌빌딩 B1,https://m.place.naver.com/restaurant/37797658?entry=pll
11,진가와,서울특별시 영등포구 국제금융로2길 17,https://m.place.naver.com/restaurant/1974070800/home?entry=plt
12,팥이재,서울특별시 영등포구 여의대방로65길 17,https://m.place.naver.com/restaurant/32460957/home?entry=plt
13,갓포아키,서울특별시 영등포구 의사당대로 16,https://m.place.naver.com/restaurant/1178223204/home?entry=plt
14,브루클린더버거조인트,서울특별시 영등포구 국제금융로2길 24,https://m.place.naver.com/restaurant/1161783587/home?entry=plt
15,스시혜정,서울특별시 영등포구 여의대방로 376,https://m.place.naver.com/restaurant/1224713781/home?entry=plt
16,경천애인2237,서울특별시 영등포구 국제금융로8길 31,https://m.place.naver.com/restaurant/1577118878/home?entry=plt
17,에덴식당,서울특별시 영등포구 의사당대로 127,https://m.place.naver.com/restaurant/36898413/home?entry=plt
18,신원,서울특별시 영등포구 여의대로 56,https://m.place.naver.com/restaurant/18581734/home?entry=plt
19,그레이에스프레소,서울특별시 영등포구 여의대방로 379,https://m.place.naver.com/restaurant/37677499/home?entry=plt
20,패트릭스와플,서울특별시 영등포구 국제금융로 112,https://m.place.naver.com/place/1603372541?entry=ple
21,브로드웨이,서울특별시 영등포구 국회대로76길 16,https://m.place.naver.com/place/38010058?entry=ple
22,야마야,서울특별시 영등포구 여의대로 66,https://m.place.naver.com/restaurant/32873365/home?entry=plt
23,테이스팅룸,서울특별시 영등포구 국제금융로 10,https://m.place.naver.com/place/1108947417?entry=ple
24,배꼽집,서울특별시 영등포구 국제금융로2길 32,https://m.place.naver.com/place/1272151224?entry=ple
25,아루히,서울특별시 영등포구 여의나루로 42,https://m.place.naver.com/restaurant/1251024640/home?entry=plt
26,아이엠베이글,서울특별시 영등포구 국제금융로 86,https://m.place.naver.com/restaurant/38667890/home?entry=plt
27,대오옛집,서울특별시 영등포구 여의나루로 53-1,https://m.place.naver.com/restaurant/1033415819/home?entry=ple
28,그리너리샐러드,서울특별시 영등포구 은행로 29,https://m.place.naver.com/restaurant/36797770/home?entry=plt
29,라무진,서울특별시 영등포구 여의대방로65길 17,https://m.place.naver.com/restaurant/38232470/home?entry=pll
30,카페진정성,서울특별시 영등포구 국제금융로8길 31,https://m.place.naver.com/restaurant/967978358/home?entry=ple
31,커피기업,서울특별시 영등포구 은행로 29,https://m.place.naver.com/restaurant/38276405/home?entry=plt
32,수하동,서울특별시 영등포구 국제금융로2길 17,https://m.place.naver.com/place/644771818?entry=ple
33,더스테이크하우스,서울특별시 영등포구 국제금융로 10,https://m.place.naver.com/restaurant/31068326/home?entry=ple
34,그리츠,서울특별시 영등포구 의사당대로 16,https://m.place.naver.com/restaurant/37402337/home?entry=plt
35,창고43,서울특별시 영등포구 국제금융로6길 33,https://m.place.naver.com/restaurant/13349473/home?entry=ple
36,서궁,서울특별시 영등포구 국제금융로 78,https://m.place.naver.com/restaurant/11728217/home?entry=plt
37,쿠치나후,서울특별시 영등포구 의사당대로 1,https://m.place.naver.com/restaurant/36413570/home?entry=plt
38,뉴오리진,서울특별시 영등포구 국제금융로 10,https://m.place.naver.com/place/1048363661?entry=ple
39,구이구이,서울특별시 영등포구 의사당대로 38,https://m.place.naver.com/restaurant/1625786226/home?entry=plt
40,나폴레옹 IFC,서울특별시 영등포구 국제금융로 10,https://m.place.naver.com/restaurant/1618751140/home?entry=ple
41,영원식당,서울특별시 영등포구 여의나루로 117,https://m.place.naver.com/restaurant/20471525/home?entry=plt
42,카레오,서울특별시 영등포구 여의동로3길 10,https://m.place.naver.com/restaurant/37603660/home?entry=plt
43,파낙스,서울특별시 영등포구 여의대방로65길 17,https://m.place.naver.com/restaurant/11725476/home?entry=ple
44,슈치쿠,서울특별시 영등포구 63로 50,https://m.place.naver.com/restaurant/11679247/home?entry=plt